                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.98884,                0.66972,                 1.0495,                0.60333,                0.59751,                0.60356,                0.34826,                 1.5566,                 1.2722,                 1.3361,              0.0094909,              0.0094909,              0.0094909
                    110,                0.99368,                0.66837,                 1.0504,                0.59537,                0.61759,                0.61478,                0.35415,                 1.5789,                 1.1814,                 1.3478,              0.0094626,              0.0094626,              0.0094626
                    111,                0.98794,                0.66543,                 1.0473,                0.67623,                 0.5478,                0.60938,                0.35498,                 1.5878,                 1.1985,                 1.3523,              0.0094343,              0.0094343,              0.0094343
                    112,                0.99302,                0.67007,                 1.0532,                0.64904,                0.60612,                0.61914,                0.35716,                 1.5743,                 1.1929,                 1.3413,               0.009406,               0.009406,               0.009406
                    113,                0.97726,                0.66499,                 1.0489,                0.65264,                0.58379,                 0.6192,                0.36585,                 1.5488,                 1.2179,                 1.3375,              0.0093777,              0.0093777,              0.0093777
                    114,                0.97936,                0.66256,                 1.0451,                0.63587,                0.56501,                0.61246,                0.36105,                  1.564,                   1.23,                 1.3488,              0.0093494,              0.0093494,              0.0093494
                    115,                 0.9832,                0.66322,                 1.0471,                0.61665,                0.59847,                0.60533,                0.35415,                 1.5781,                 1.2192,                 1.3467,              0.0093211,              0.0093211,              0.0093211
                    116,                0.98029,                0.66044,                 1.0492,                0.64042,                0.58403,                0.61753,                0.36449,                 1.5847,                 1.1831,                 1.3524,              0.0092929,              0.0092929,              0.0092929
                    117,                0.97611,                0.65134,                 1.0431,                0.62634,                0.60895,                0.62279,                0.35827,                  1.572,                 1.2132,                  1.336,              0.0092646,              0.0092646,              0.0092646
                    118,                0.97558,                0.65775,                 1.0457,                0.65301,                0.60325,                0.62021,                0.35719,                 1.5519,                 1.2047,                 1.3215,              0.0092363,              0.0092363,              0.0092363
                    119,                 0.9665,                0.65759,                 1.0435,                0.67624,                0.56911,                0.61149,                0.35884,                 1.5697,                 1.2072,                 1.3456,               0.009208,               0.009208,               0.009208
                    120,                0.98126,                0.65442,                 1.0439,                0.65719,                0.58222,                0.61392,                0.36271,                 1.5512,                 1.2164,                 1.3393,              0.0091797,              0.0091797,              0.0091797
                    121,                0.96771,                0.65111,                 1.0396,                0.67383,                0.56979,                0.61484,                0.35868,                 1.5396,                 1.2124,                 1.3272,              0.0091514,              0.0091514,              0.0091514
                    122,                0.97396,                0.65159,                 1.0373,                0.62376,                  0.569,                0.60309,                0.34758,                 1.5545,                 1.2567,                 1.3365,              0.0091231,              0.0091231,              0.0091231
                    123,                 0.9709,                0.64987,                 1.0414,                0.65559,                0.56413,                0.61317,                0.36173,                 1.5587,                 1.2407,                 1.3481,              0.0090949,              0.0090949,              0.0090949
                    124,                0.95954,                0.64403,                 1.0385,                0.64618,                0.59014,                0.61261,                0.35767,                 1.5241,                 1.2256,                 1.3182,              0.0090666,              0.0090666,              0.0090666
                    125,                0.95092,                0.63878,                   1.03,                0.63785,                0.57756,                0.60428,                0.35103,                 1.5759,                 1.2559,                 1.3553,              0.0090383,              0.0090383,              0.0090383
                    126,                0.96012,                0.64413,                 1.0376,                0.60893,                0.57457,                0.60148,                 0.3494,                 1.5819,                 1.2453,                 1.3547,                0.00901,                0.00901,                0.00901
                    127,                0.94741,                0.63208,                 1.0318,                0.69246,                0.56023,                0.61832,                0.36397,                 1.5618,                 1.2424,                 1.3479,              0.0089817,              0.0089817,              0.0089817
                    128,                0.95614,                0.64141,                 1.0338,                0.59636,                0.60878,                0.60532,                0.35153,                 1.5785,                 1.2565,                 1.3464,              0.0089534,              0.0089534,              0.0089534
                    129,                0.95237,                0.63304,                 1.0333,                0.64163,                0.57854,                0.61518,                0.36292,                 1.5555,                 1.2239,                 1.3224,              0.0089251,              0.0089251,              0.0089251
